Title,Director,Cast,Genre
*99.9 FM*,Sanjay Bhatia,"Shawar Ali, Dipannita Sharma, Raima Sen","Comedy, Drama"
*Aabra Ka Daabra*,Dheeraj Kumar,"Hansika Motwani, Shweta Tiwari, Vishal Lalwani, Archana Puran Singh",Fantasy
*Aan: Men at Work*,Madhur Bhandarkar,"Akshay Kumar, Sunil Shetty, Lara Dutta, Raveena Tandon",Action
*Ab Bas*,Rajesh Kumar Singh,"Shawar Ali, Rohit Roy, Diana Hayden",Adult
*Ab Tumhare Hawale Watan Saathiyo*,Anil Sharma,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar","War, Drama"
*Aetbaar*,Vikram Bhatt,"Amitabh Bachchan, Bipasha Basu, John Abraham",Thriller
*Agnipankh*,Sanjeev Puri,"Jimmy Shergill, Rahul Dev, Divya Dutta, Shamita Shetty",
*Aitraaz*,Abbas-Mustan,"Priyanka Chopra, Akshay Kumar, Kareena Kapoor","Drama, Romance, Thriller"
*Asambhav*,Rajiv Rai,"Arjun Rampal, Priyanka Chopra","Mystery, Thriller"
*Banana Brothers*,Girija Shanker,"Johny Lever, Anupam Kher, Gulshan Grover, Gursewak Mann, Seema Rahmani",Comedy
Black Friday,Anurag Kashyap,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Imtiaz Ali, Pratima Kazmi, 
Zakir Hussain","Crime Fiction, Drama, Historical Drama"
*Bardaasht*,E. Jasir,"Bobby Deol, Lara Dutta, Ritesh Deshmukh, Rahul Dev","Action, Drama, Thriller"
*Chameli*,Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna",Drama
*Chand Bujh Gaya*,Sharique Minhaj,"Faizal Khan, Shama Sikander, Aliza",Romance
*Charas*,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Uday Chopra, Hrishita Bhatt, Namrata Shirodkar",Action
*Deewaar*,Milan Luthria,"Amitabh Bachchan, Sanjay Dutt, Akshaye Khanna, Kay Kay Menon, Amrita Rao",Drama
*Dev*,Govind Nihalani,"Amitabh Bachchan, Fardeen Khan, Kareena Kapoor, Rati Agnihotri, Om Puri, Amrish 
Puri",Drama
*Dhoom*,Sanjay Gadhvi,"Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol, Rimi Sen",Thriller
*Dil Bechara Pyaar Ka Maara*,Omkarnath Mishra,"Vikas Kalantri, Aslam Khan, Divya Palat, Rajpal Yadav, Mallika Kapoor",Comedy
*Dil Maange More*,Anant Mahadevan,"Shahid Kapoor, Ayesha Takia, Soha Ali Khan, Tulip Joshi",Romance
*Dil Ne Jise Apna Kahaa*,Atul Agnihotri,"Salman Khan, Preity Zinta, Bhoomika Chawla",Romance
*Dobara*,Shashi Ranjan,"Raveena Tandon, Jackie Shroff, Mahima Chaudhry",Drama
*Dukaan*,Iqbal Durrani,"Vikas Kalantri, Rambha, Rati Agnihotri",Adult Romance
*Ek Se Badhkar Ek*,Kundan Shah,"Sunil Shetty, Raveena Tandon, Isha Koppikar",Comedy
*Fida*,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma","Drama, Romance, Thriller"
*Flavours*,"Krishna D. K.
Raj Nidimoru","Anupam Mittal, Jicky Schnee, Pooja Kumar, Reef Karim",Drama
*Garv: Pride and Honour*,Puneet Issar,"Salman Khan, Shilpa Shetty, Arbaaz Khan",Drama
*Gayab*,Prawal Raman,"Tusshar Kapoor, Antara Mali, Raghubir Yadav","Fantasy, Thriller"
*Girlfriend*,Karan Razdan,"Amrita Arora, Isha Koppikar, Aashish Chaudhary","Drama, Romance"
*Green Card Fever*,Bala Rajasekharuni,"Deep Katdare, Purva Bedi, Vikram Dasu",Drama
*Gumnaam*,Neeraj Pathak,"Dino Morea, Mahima Chaudhry","Romance, Thriller"
*Hava Aney Dey*,Partho Sen-Gupta,"Nishikant Kamat, Tannishtha Chatterjee, Rajshree Thakur",Drama
*Hawas*,Karan Razdan,"Shawar Ali, Meghna Naidu, Tarun Arora",Adult Romance
*Hulchul*,Priyadarshan,"Akshaye Khanna, Kareena Kapoor, Arbaaz Khan, Sunil Shetty, Arshad Warsi, Jackie 
Shroff, Paresh Rawal, Amrish Puri","Comedy, Drama, Romance, Family, Crime"
*Hum Tum*,Kunal Kohli,"Saif Ali Khan, Rani Mukerji, Kirron Kher, Jimmy Shergill, Rishi Kapoor, Rati 
Agnihotri, Isha Koppikar, Abhishek Bachchan","Comedy, Romance"
*Hyderabad Blues 2*,Nagesh Kukunoor,"Tisca Chopra, Elahe Hiptoola, Jyoti Dogra, Vikram Inamdar, Anu Chengappa",Drama
*I - Proud To Be An Indian*,Puneet Issar,"Sohail Khan, Gulzar Inder Chahal, Puneet Issar, Tim Lawrence,",Action
*Insaaf: The Justice*,Shrey Srivastava,"Dino Morea, Namrata Shirodkar, Sanjay Suri, Henna, Rajpal Yadav",Action
*Inteqam: The Perfect Game*,Pankaj Parashar,"Nethra Raghuraman, Manoj Bajpai, Isha Koppikar",Action
*Ishq Hai Tumse*,G. Krishna,"Bipasha Basu, Dino Morea",Drama
*Julie*,Deepak Shivdasani,"Neha Dhupia, Yash Tonk, Sanjay Kapoor, Priyanshu Chatterjee",Adult Drama
*Kaun Hai Jo Sapno Mein Aaya*,Rajesh Bhatt,"Anupam Kher, Richa Pallod, Rakesh Bapat, Kader Khan",Romance
*Khakee*,Rajkumar Santoshi,"Amitabh Bachchan, Akshay Kumar, Ajay Devgan, Aishwarya Rai, Tusshar Kapoor, Atul 
Kulkarni","Action, Thriller"
*Khamosh Pani*,Sabiha Kumar,"Kirron Kher, Amar Ali Malik",Drama
*King of Bollywood*,Piyush Jha,"Om Puri, Sophie Dahl, Kavita Kapoor",Comedy
*Kis Kis Ki Kismat*,Govind Menon,"Dharmendra, Mallika Sherawat, Rati Agnihotri, Satish Shah",Comedy
*Kismat*,Guddu Dhanoa,"Priyanka Chopra, Bobby Deol",Thriller
*Kiss Kis Ko*,Sharad Sharan,"Karan Oberoi, Sudhanshu Pandey, Sherrin Varghese, Siddharth Haldipur, 
Chaitnya Bhosale",Adult Comedy
*Krishna Cottage*,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha",Thriller
*Kyun...! Ho Gaya Na*,Samir Karnik,"Vivek Oberoi, Aishwarya Rai, Amitabh Bachchan, Sunil Shetty, Diya Mirza, Rati 
Agnihotri",Romance
*Lakeer - Forbidden Lines*,Ahmed Khan,"Sunil Shetty, Sunny Deol, Sohail Khan, John Abraham, Nauheed Cyrusi","Action, Drama, Romance"
*Lakshya*,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Sharad Kapoor, Amitabh Bachchan","War, Drama"
*Let's Enjoy*,"Ankur Tewari
Siddharth Anand Kumar","Shomendra Bose, Aashish Chaudhary, Roshni Chopra, Arzoo Govitrikar, Sahil 
Gupta, Dhruv Jagasiya",Adult Thriller
*Madhoshi*,Tanveer Khan,"Bipasha Basu, John Abraham, Priyanshu Chatterjee","Drama, Romance, Thriller"
*Main Hoon Na*,Farah Khan,"Shahrukh Khan, Sushmita Sen, Sunil Shetty, Amrita Rao, Zayed Khan, Kiron 
Kher, Naseeruddin Shah, Kabir Bedi, Satish Shah, Boman Irani, Bindu, Murli 
Sharma, Rakhi Sawant","Action, Musical"
*Maqbool*,Vishal Bhardwaj,"Tabu, Pankaj Kapoor, Irfan Khan, Moushumi Chatterjee, Om Puri",Mystery Drama
*Masti*,Indra Kumar,"Vivek Oberoi, Aftab Shivdasani, Lara Dutta, Ritesh Deshmukh, Ajay Devgan, Genelia 
D'souza, Tara Sharma, Amrita Rao, Rakhi Sawant",Comedy
*Meenaxi: A Tale of Three Cities*,M. F. Hussain,"Tabu, Kunal Kapoor, Rajpal Yadav, Nadira Babbar","Romance, Musical Drama"
*Meri Biwi Ka Jawab Nahin*,"S. M. Iqbal
Pankaj Parashar","Sridevi, Akshay Kumar","Action, Comedy, Romance"
*Mughal-e-Azam* (Colorized Version),K. Asif,"Dilip Kumar, Madhubala, Prithviraj Kapoor",Drama
*Mujhse Shaadi Karogi*,David Dhawan,"Salman Khan, Priyanka Chopra, Akshay Kumar","Comedy, Romance"
*Murder*,Anurag Basu,"Mallika Sherawat, Emraan Hashmi, Ashmit Patel",Thriller
*Musafir*,Sanjay Gupta,"Anil Kapoor, Sanjay Dutt, Sameera Reddy, Koena Mitra, Mahesh Manjrekar",Thriller
*Muskaan*,"Rohit Nayyar
Rohit Manash","Aftab Shivdasani, Gracy Singh, Kader Khan, Anupam Kher","Romance, Drama"
*Naach*,Ram Gopal Varma,"Antara Mali, Abhishek Bachchan, Ritesh Deshmukh",Drama
*Naam Gum Jaayega*,Amol Shetge,"Aryan Vaid, Rakesh Bapat, Dia Mirza, Divya Dutta",Romance
*Nothing But Life*,Rajiv Anchal,"R. Madhavan, Kaveri, Sreenivasan",Drama
*Paap*,Pooja Bhatt,"John Abraham, Udita Goswami",Drama
*Paisa Vasool*,Srinivas Bhashyam,"Manisha Koirala, Sushmita Sen, Sushant Singh, Tinu Anand, Rakhi Sawant, Makrand 
Deshpande",Black Comedy
*Phir Milenge*,Revathy,"Shilpa Shetty, Salman Khan, Abhishek Bachchan",Drama
*Plan*,Hriday Shetty,"Sanjay Dutt, Priyanka Chopra, Dino Morea, Sanjay Suri, Riya Sen, Rohit Roy, Sameera 
Reddy",Action
*Police Force: An Inside Story*,Dilip Shukla,"Akshay Kumar, Raveena Tandon",Action
*Popcorn Khao! Mast Ho Jao*,Kabir Sadanand,"Akshay Kapoor, Tanisha, Yash Tonk, Reshmi Nigam",
*Raincoat*,Rituparno Ghosh,"Ajay Devgan, Aishwarya Rai",Drama
*Rakht: What If You Can See the Future*,Mahesh Manjrekar,"Sunil Shetty, Neha Dhupia, Dino Morea, Himanshu Malik, Amrita Arora, Abhishek 
Bachchan, Bipasha Basu, Sanjay Dutt",Horror
*Rok Sako To Rok Lo*,Arindam Chowdhury,"Sunny Deol, Yash Pandit",Sports Comedy
*Rudraksh*,Mani Shankar,"Sunil Shetty, Sanjay Dutt, Bipasha Basu, Isha Koppikar",Thriller
*Run*,Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Ayesha Jhulka, Mahesh Manjrekar","Action, Drama, Romance"
*Shaadi Ka Laddoo*,Raj Kaushal,"Sanjay Suri, Mandira Bedi, Divya Dutta, Aashish Chaudhary",Comedy
*Shart: The Challenge*,Puri Jagannath,"Tusshar Kapoor, Gracy Singh, Amrita Arora",Action Drama
*Sheen*,Ashok Pandit,"Tarun Arora, Raj Babbar, Anoop Soni, Kiran Juneja",Romance
*Shikhaar*,Darshan Bagga,"Kanishka Sodhi, Jas Pandher",Drama
*Shukriya*,Anupam Sinha,"Anupam Kher, Aftab Shivdasani, Shriya Saran",Drama
*Silence Please...The Dressing Room*,Sanjay Srinivas,"Salil Ankola, Sonali Kulkarni, Tom Alter",Thriller
*Socha Na Tha*,Imtiaz Ali,"Ayesha Takia, Abhay Deol, Ayesha Jhulka",Romance
*Stop!*,Ajai Sinha,"Rocky Bhatia, Dia Mirza, Gauri Karnik, Ishita Sharma",Romance Drama
*Suno Sasurjee*,Vimal Kumar,"Aftab, Ameesha Patel","Romantic, Comedy"
*Swades*,Ashutosh Gowarikar,"Shahrukh Khan, Gayatri Joshi, Kishori Ballal",Drama
*Taarzan: The Wonder Car*,Abbas Mustan,"Vatsal Seth, Ayesha Takia, Ajay Devgan",Fantasy Thriller
*Thoda Tum Badlo Thoda Hum*,Esmayeel Shroff,"Arya Babbar, Shriya Saran, Ashok Saraf",Romance
*Tumsa Nahin Dekha*,Anurag Basu,"Emraan Hashmi, Diya Mirza",Romance
*Uff Kya Jaadoo Mohabbat Hai*,Manoj J. Bhatia,"Sammir Dattani, Pooja Kanwal, Sandhya Mridul, Akshay Anand",Romance
*Vaastu Shastra*,Saurab Narang,"J. D. Chakravarthy, Ahsaas Channa, Vicky Ahuja, Sushmita Sen",Horror
*Veer-Zaara*,Yash Chopra,"Shahrukh Khan, Preity Zinta, Rani Mukerji, Kiron Kher, Zohra Sehgal, Hema 
Malini, Amitabh Bachchan","Drama, Romance"
*Wajaah - A Reason to Kill*,Gautam Adhikari,"Arbaaz Khan, Shamita Shetty, Gracy Singh",Thriller
*Where's the Party Yaar?*,Benny Mathews,"Diwakar Pathak, Sunil Malhotra",Comedy
*Woh*,Raj N. Sippy,"Priyanshu Chatterjee, Cleo Issacs, Shahbaz Khan",Thriller
*Yeh Lamhe Judaai Ke*,Birendra Nath Tiwary,"Shahrukh Khan, Raveena Tandon",Drama
*Yehi Hai Zindagi*,Ajay Phansekar,"Gracy Singh, Sahil Khan, Parvin Dabbas",Drama
*Yuva*,Mani Ratnam,"Ajay Devgan, Abhishek Bachchan, Vivek Oberoi, Kareena Kapoor, Rani Mukerji, Esha 
Deol, Om Puri","Drama, Action"
*Zameer*,Kamal,"Ajay Devgan, Mahima Chaudhry, Amisha Patel",Action Drama
*3 Deewarein*,Nagesh Kukunoor,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla",Drama
*88 Antop Hill*,Kushan Nandy,"Rahul Dev, Shweta Menon, Atul Kulkarni",Thriller
*Aaj Ka Andha Kanoon*,,Sudesh Berry,
*Aanch*,,"Nana Patekar, Paresh Rawal",
*Aapko Pehle Bhi Kahin Dekha Hai*,Anubhav Sinha,"Priyanshu Chatterji, Sakshi Shivanand, Om Puri, Farida Jalal",Romance
*Aisaa Kyon*,,,
*Aman Ke Farishtey*,,,
*Andaaz*,Suneel Darshan,"Akshay Kumar, Priyanka Chopra, Lara Dutta",Romance
*Armaan*,Honey Irani,"Amitabh Bachan, Anil Kapoor, Preity Zinta, Gracy Singh, Randhir Kapoor","Drama, Family"
*Baaja*,,,
*Baap Ka Baap*,,,
*Baaz: A Bird in Danger*,Tinnu Verma,"Sunil Shetty, Karisma Kapoor, Dino Morea, Jackie Shroff",Thriller
*Baghban*,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Aman Verma, Samir Soni, Rimi Sen, Suman 
Ranganathan, Divya Dutta, Salman Khan, Paresh Rawal, Mahima Chaudhry",Drama
*Bas Yun Hi*,Raja Menon,"Nandita Das, Purab Kohli, Sameer Malhotra, Sandhya Shetty",Drama
*Basti*,,"Samir Soni, Faisal Khan",Action
*Bhoot*,Ram Gopal Varma,"Urmila Matondkar, Rekha, Ajay Devgan, Nana Patekar, Fardeen Khan",Horror
*Boom*,,"Amitabh Bachchan, Jackie Shroff, Katrina Kaif, Madhu Sapre, Padma Lakshmi",Thriller
*Butterfly*,,,
*The Bypass*,,,
*Calcutta Mail*,Sudhir mishra,"Anil Kapoor, Rani Mukerji, Manisha Koirala",Drama
*Chalte Chalte*,Aziz Mirza,"Shahrukh Khan, Rani Mukerji",Romance
*Chokher Bali*,,Aishwarya Rai,Drama
*Chori Chori*,Milan Luthria,"Ajay Devgan, Rani Mukerji, Sonali Bendre",Romance
*Chota Jadugar*,Jose Punnoose,"Suraj Balajee, S.P. Balasubramaniam, Tirlok Malik, Pooja Kumar",
*Chupke Se*,,"Zulfi Syed, Masumeh Makhija",
*Chura Liyaa Hai Tumne*,Sangeeth Sivan,"Zayed Khan, Esha Deol","Action, Drama, Romance, Thriller"
*Dabdaba*,,,
*Danav*,,,
*Darna Mana Hai*,,"Saif Ali Khan, Shilpa Shetty, Sameera Reddy, Vivek Oberoi, Sohail Khan, Aftab 
Shivdasani, Antara Mali, Nana Patekar, Rajpal Yadav, Isha Koppikar, Sanjay 
Kapoor","Horror, Thriller"
*Dhoop*,,"Om Puri, Revathi, Sanjay Suri",
*Dhund: The Fog*,,"Sameer Upadhyay, Aditi Gowitrikar",
*Dil Ka Rishta*,,"Arjun Rampal, Aishwarya Rai, Priyanshu Chatterjee, Isha Koppikar, Raakhee, Paresh 
Rawal","Drama, Romance"
*Dil Pardesi Ho Gayaa*,,,Romance
*Dum*,,"Vivek Oberoi, Diya Mirza, Atul Kulkarni","Action, Drama, Romance"
*Ek Alag Mausam*,,"Nandita Das, Anupam Kher",
*Ek Aur Ek Gyarah*,,"Sanjay Dutt, Govinda, Amrita Arora",Comedy
*Ek Din 24 Ghante*,Anant Balani,"Rahul Bose, Nandita Das",
*Escape from Taliban*,,Manisha Koirala,Drama
*Final Solution*,,,
*Footpath*,,"Aftab Shivdasani, Bipasha Basu, Emraan Hashmi, Rahul Dev,",Drama
*Fun 2shh: Dudes in the 10th Century*,Imtiaz Punjabi,"Gulshan Grover, Paresh Rawal, Farida Jalal",
*Gangaajal*,Prakash Jha,"Ajay Devgan, Gracy Singh",Drama
*Ganges: River to Heaven*,,,
*Guru*,,,
*Haasil*,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Hrishita Bhatt",Drama
*Hawa*,,"Tabu, Shahbaj khan",Horror
*Hawayein*,,,
*The Hero: Love Story of a Spy*,Anil Sharma,"Sunny Deol, Preity Zinta, Priyanka Chopra",Drama
*Humein Tumse Pyar Ho Gaya Chupke Chupke*,,,
*Hungama*,Priyadarshan,"Akshaye Khanna, Rimi Sen, Aftab Shivdasani, Rajpal Yadav, Paresh Rawal",Comedy
*Indian Babu*,,,
*Inteha*,,"Vidya Malvade, Ashmit Patel","Drama, Thriller"
*Ishq Vishk*,Ken Ghosh,"Shahid Kapoor, Amrita Rao",Romance
*Jaal: The Trap*,Guddu Dhanoa,"Sunny Deol, Tabu, Reema Sen",Action Romance
*Jajantaram Mamantaram*,,javed jaffari,
*Janasheen*,,"Fardeen Khan, Celina Jaitley, Firoz Khan",Thriller
*Jhankaar Beats*,,"Juhi Chawla, Rahul Bose, Rinke Khanna, Sanjay Suri, Riya Sen",Drama
*Jism*,Anurag Basu,"Bipasha Basu, John Abraham, Gulshan Grover","Drama, Romance, Thriller"
*Jodi Kya Banayi Wah Wah Ramji*,,,
*Joggers Park*,Anant Balani,"Victor Banerjee,Parijat Zorabian",
*Kaash... Hamara Dil Pagal Na Hota*,Mangal Anand,"Mukesh Ahuja, Chetan Aneja Nigel Borade",
*Kagaar: Life on the Edge*,N. Chandra,"Om Puri, Nandita Das, Amitabh Dayal",
*Kahan Ho Tum*,,,
*Kaise Kahoon Ke... Pyaar Hai*,,Sunny Deol,
*Kal Ho Naa Ho*,Nikhil Advani,"Shahrukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bachchan, Sanjay Kapoor, Sonali 
Bendre","Drama, Romance, Family, Social, Comedy"
*Kash Aap Hamare Hote*,,"Juhi Babbar, Sonu Nigam",Romance
*Kaya Poochhe Maya Se*,,,
*Khanjar: The Knife*,Chander Sharma,"Sunil Shetty, Tabu",Action
*Khel*,Yusuf Khan,"Sunil Shetty, Sunny Deol, Ajay Jadeja, Celina Jaitley",Thriller
*Khushi*,,"Fardeen Khan, Kareena Kapoor, Amrish Puri",Romance
*Khwahish*,Govind Menon,"Mallika Sherawat, Himanshu Malik",Drama
*Koi... Mil Gaya*,Rakesh Roshan,"Rekha, Hrithik Roshan, Preity Zinta","Romance, Fantasy"
*Kucch To Hai*,,"Tusshar Kapoor, Esha Deol, Natassha, Yash Tonk, Rishi Kapoor, Jeetendra, Moonmoon 
Sen, Johny Lever",Thriller
*Kuch Naa Kaho*,,"Abhishek Bachchan, Aishwarya Rai, Arbaaz Khan","Drama, Romance"
*Kyon?*,,,
*Larger Than Life*,,,
*LOC Kargil*,J.P. Dutta,"Sunil Shetty, Sanjay Dutt, Ajay Devgan, Saif Ali Khan, Kareena Kapoor, Rani 
Mukerji, Abhishek Bachchan, Akshaye Khanna, Sanjay Kapoor, Manoj Bajpai, Isha 
Koppikar, Mahima Chaudhry, Karan Nath, Esha Deol, Raveena Tandon","War, Drama"
*Love at Times Square*,,Sonu Nigam,
*Maa Santoshi Maa*,,,
*Main Madhuri Dixit Banna Chahti Hoon*,,"Antara Mali, Rajpal Yadav",Comedy
*Main Prem Ki Diwani Hoon*,Sooraj R. Barjatya,"Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan",Romance
*Market*,,Manisha Koirala,
*Matrubhoomi: A Nation Without Women*,,Tulip Joshi,Drama
*Miss India: The Mystery*,,,
*Mudda: The Issue*,,,
*Mumbai Matinee*,Anant Balani,"Rahul Bose,Parijat Zorabian, Anusha Dhandekar",
*Mumbai Se Aaya Mera Dost*,Apoorva Agnihotri,"Abhishek Bachchan, Lara Dutta",Drama
*Munna Bhai M.B.B.S.*,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Jimmy Shergill, Boman Irani, Sunil 
Dutt",Comedy
*Naag Lok*,,,
*Nayee Padosan*,,,
*October*,,,
*Om*,,,
*Oops!*,Dipak Tijori,,
*Out of Control*,,"Ritesh Deshmukh, Hrishita Bhatt, Brande Roderick, Amrish Puri","Comedy, Romance"
*Paanch*,,,
*Parwana*,,"Ajay Devgan, Amisha Patel, Pooja Batra","Action, Drama, Thriller"
*Patth*,,,
*Pehli Nazar Ka Pehla Pyaar: Love at First Sight*,,,
*Pinjar*,Chandrakant Dwivedi,"Urmila Matondkar, Manoj Bajpai, Sanjay Suri, Priyanshu Chatterjee, Isha 
Koppikar",Drama
*The Pink Mirror*,,,
*Pran Jaye Par Shaan Na Jaye*,Sanjay Manjerekar,"Aman Verma, Rinke Khanna, Raveena Tandon, Namrata Shirodkar, Dia Mirza",Comedy
*Qayamat: City Under Threat*,Harry Baweja,"Ajay Devgan, Sunil Shetty, Sanjay Kapoor, Neha Dhupia, Arbaaz Khan, Raveena 
Tandon, Isha Koppikar, Riya Sen, Aashish Chaudhary, Chunky Pandey",Thriller
*Raghu More: Bachelor of Hearts*,,,
*Raghu Romeo*,Rajat Kapoor,,
*Raja Bhaiya*,,"Govinda, Arti Chhabriya",
*Rasikan Re*,,,
"*Right Here, Right Now*",,,
*Rules: Pyaar Ka Superhit Formula*,Parvati Balagopalan,Milind Soman,
*Saaya*,,"John Abraham, Tara Sharma, Mahima Chaudhry",Drama
*Sala Bandar!*,,,
*Samay: When Time Strikes*,,"Sushmita Sen, Jackie Shroff, Sushant Singh",Thriller
*Sanatta: The Silence*,,,
*Sandhya*,,,
*Satta*,Madhur Bhandarkar,Raveena Tandon,Drama
*Satyaghath: Crime Never Pays*,Priyadarshan,"Mohanlal, Mahesh Anand, Cochin Haneefa",
*Shanti*,,,
*Sssshhh...*,,,
*Stumped*,,,
*Supari*,,"Uday Chopra, Namrata Shirodkar",
*Surya*,,,
*Tada*,Sishir Mishra,,
*Taj Mahal: A Monument of Love*,Sanjay Khan,,
*Talaash: The Hunt Begins...*,Suneel Darshan,"Akshay Kumar, Kareena Kapoor",Thriller
*Tareekh*,,,
*Tehzeeb*,Khalid Mohammad,"Urmila Matondkar, Shabana Azmi, Arjun Rampal, Rishi Kapoor, Diya Mirza, Namrata 
Shirodkar",
*Tere Naam*,Satish Kaushik,"Salman Khan, Bhoomika Chawla","Drama, Romance"
*Tu Bal Bramhachari Main Hoon Kanya Kunwari*,,,
*Tujhe Meri Kasam*,,"Ritesh Deshmukh, Genelia D'souza",Romance
*Tumse Milke Wrong Number*,,Tinnu Anand,
*Valentine Days*,,,
*Waisa Bhi Hota Hai Part II*,,"Arshad Warsi, Sandhya Mridul, Prashant Narayanan",
*Where's the Party Yaar?*,,Kal Pen,
*Xcuse Me*,N. Chandra,"Sahil Khan, Sharman Joshi, Payal Rohatgi",Comedy
*Yeh Dil*,,"Tushar Kapoor, Natassha",
*Zameen*,Rohit Shetty,"Ajay Devgan, Abhishek Bachchan, Bipasha Basu",Thriller
*16 December*,Mani Shankar,"Milind Soman, Dipannita Sharma, Gulshan Grover, Aditi Govitrikar, Sushant 
Singh",Action
*23rd March 1931: Shaheed*,Guddu Dhanoa,"Sunny Deol, Bobby Deol, Divya Dutta, Aishwarya Rai, Amrita Singh",Historical Drama
*Aakhri Inteqam*,,,
*Aankhen*,Vipul Shah,"Amitabh Bachchan, Akshay Kumar, Paresh Rawal, Arjun Rampal, Sushmita Sen, Kashmira 
Shah, Bipasha Basu","Thriller, Action"
*Aap Mujhe Achche Lagne Lage*,Vikram Bhatt,"Hrithik Roshan, Amisha Patel","Romance, Drama"
*Ab Ke Baras*,Raj Kanwar,"Amrita Rao, Arya Babbar, Ashish Vidyarthi","Romance, Drama"
*Agni Varsha*,Arjun Sajnani,"Raveena Tandon, Akkineni Nagarjuna, Prabhu Deva, Milind Soman, Jackie Shroff, 
Sonali Kulkarni, Amitabh Bachchan",Historical
*Amma*,,,
*Angaar: The Fire*,Ajay Kashyap,"Vinay Anand, Rana Jung Bahadur, Rajat Bedi, Sanober Kabir",
*Anita and Me*,Metin Hüseyin,"Kabir Bedi, Max Beesley, Sanjeev Bhaskar, Anna Brewster, Meera Syal","Comedy, Drama"
*Akhiyon Se Goli Maare*,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan",Comedy
*Annarth*,Ravi Dewan,"Sunil Shetty, Sanjay Dutt, Ashutosh Rana, Preeti Jhangiani, Johny Lever, Tinu 
Anand","Action, Thriller"
*Ansh: The Deadly Part*,"Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji",Action Thriller,
