Title,Director,Cast,Genre
*Awara Paagal Deewana*,Vikram Bhatt,"Akshay Kumar, Sunil Shetty, Aftab Shivdasani, Amrita Arora, Rahul Dev, Preeti 
Jhangiani","Action, Comedy"
*Be-Lagaam*,Ram Lakhan,"Aryan Vaid, Pramod Moutho, Tanveer Zaidi",Action
*Badhaai Ho Badhaai*,Satish Kaushik,"Anil Kapoor, Shilpa Shetty, Kirti Reddy","Comedy,Drama"
*Bharat Bhagya Vidhata*,,,
*Bheeru No*,,,
*Bollywood Queen*,,,
*Bomb the System*,,,
*Chalo Ishq Ladaaye*,,"Govinda, Rani Mukerji",Comedy
*Chhal*,,,
*Chor Machaaye Shor*,Aziz Sejawal,"Shilpa Shetty, Bobby Deol, Bipasha Basu","Comedy, Romance, Crime"
*Company*,Ram Gopal Varma,"Ajay Devgan, Manisha Koirala, Vivek Oberoi, Antara Mali","Crime, Drama"
*Danger*,,,
*Darwaza*,,,
*Deewangee*,,"Urmila Matondkar, Ajay Devgan, Akshaye Khanna",Thriller
*Desh Devi*,,,
*Dhadkan*,Dharmesh Darshan,"Akshay Kumar, Sunil Shetty, Shilpa Shetty, Mahima Chaudhry","Romance, Drama, Musical"
*Devdas*,Sanjay Leela Bhansali,"Shahrukh Khan, Madhuri Dixit, Aishwarya Rai, Kiron Kher, Jackie Shroff","Romance, Drama, Musical"
*Dil Hai Tumhaara*,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhary, Arjun Rampal, Jimmy Shergill",Family Drama
*Dil Vil Pyar Vyar*,Anant Mahadevan,"Jimmy Shergill, Sanjay Suri, Namrata Shirodkar, Madhavan, Sonali Kulkarni, Hrishita 
Bhatt","Romance, Drama"
*Durga: It's Not Just a Love Story*,,,
*Ek Aur Visphot*,,,
*Ek Chotisi Love Story*,Shashilal K. Nair,Manisha Koirala,Erotic
*Encounter: The Killing*,,,
*Filhaal*,Meghna Gulzar,"Tabu, Sushmita Sen, Sanjay Suri",Drama
*Gangobai*,,,
*Ghaav: The Wound*,Kumar Jay,"Pankaj Berry, Rahul Bhatt, Seema Biswas, Gayatri",
*Gunaah*,Amol Shetge,"Dino Morea, Bipasha Basu, Irrfan Khan","Thriller, Romance"
*Haan Maine Bhi Pyaar Kiya*,Dharmesh Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan",Drama
*Haathi Ka Anda*,,,
*Hathyar*,Mahesh Manjrekar,"Sanjay Dutt, Shilpa Shetty, Namrata Shirodkar",Drama
*Hum Hain Pyaar Mein*,,"Ram Asra, Neelima Azeem, Hemant Birje, Mohan Joshi",
*Hum Kisise Kum Nahin*,David Dhawan,"Amitabh Bachchan, Ajay Devgan, Sanjay Dutt, Aishwarya Rai","Action, Comedy"
*Hum Pyar Tumhi Se Kar Baithe*,,"Jugal Hansraj, Tina Rana",Romance
*Hum Tumhare Hain Sanam*,K. S. Adhiyaman,"Salman Khan, Shahrukh Khan, Madhuri Dixit, Atul Agnihotri, Aishwarya Rai","Drama, Romance"
*Humraaz*,Abbas-Mustan,"Bobby Deol, Akshaye Khanna, Amisha Patel",Thriller
*Inth Ka Jawab Patthar*,,,
*Jaani Dushman:Ek Anokhi Kahani*,Rajkumar Kohli,"Sunny Deol, Akshay Kumar, Sunil Shetty, Sonu Nigam, Arshad Warsi, Aftab 
Shivdasani, Manisha Koirala",Fantasy
*Jackpot Do Karode*,,,
*Jeena Sirf Merre Liye*,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Mallika Sherawat",Romance
*Junoon*,,"Shilpa Shetty, Chandrachur Singh, Sonali Kulkarni",
*Kaaboo*,,"Rajat Bedi, Sudesh Berry, Mushtaq Khan, Inder Kumar, Sayaji Shinde, Shweta 
Menon",Action
*Kaante*,Sanjay Gupta,"Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Mahesh Manjrekar, Lucky Ali, Kumar 
Gaurav, Lisa Ray, Isha Koppikar, Malaika Arora, Rati Agnihotri","Action, Thriller"
*Kabhie Tum Kabhie Hum*,,,
*Kali Salwaar*,,,
*Karz: The Burden of Truth*,Harry Baweja,"Sunny Deol, Sunil Shetty, Shilpa Shetty","Action, Thriller"
*Kehtaa Hai Dil Baar Baar*,Rahul Dholakia,"Jimmy Shergill, Kim Sharma, Paresh Rawal",
*Khalnayakon Ka Khalnayak*,,,
*Kitne Door Kitne Paas*,,"Fardeen Khan, Amrita Arora, Sonali Kulkarni",
*Koi Mere Dil Se Poochhe*,Boney Kapoor,"Jaya Bachchan, Esha Deol, Aftab Shivdasani, Sanjay Kapoor, Anupam Kher","Drama, Romance, Social"
*Kranti*,,"Bobby Deol, Amisha Patel",
*Kuch Tum Kaho Kuch Hum Kahein*,,"Fardeen Khan, Richa Pallod",Romance
*Kya Yehi Pyaar Hai*,,"Amisha Patel, Aftab Shivdasani, Jackie Shroff",
*Kyaa Dil Ne Kahaa*,,"Tusshar Kapoor, Esha Deol",Romance
*Kuch Dil Ne Kaha*,,"Rakesh Bapat, Reema Sen",Romance
*Lal Salaam*,Gaganvihari Borate,"Nandita Das, Sharad Kapoor, Makrand Deshpande, Vijay Raaz",
*The Legend of Bhagat Singh*,Rajkumar Santoshi,"Ajay Devgan, Amrita Rao, Sushant Singh","Historical, Drama"
*Leitin að Rejeev*,,,
*Maa Tujhhe Salaam*,,"Sunny Deol, Tabu, Arbaaz Khan",Drama
*Mahima Kaali Maa Ki*,,,
*Maine Dil Tujhko Diya*,Sohail Khan,"Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi","Action, Romance"
*Makdee*,Vishal Bhardwaj,"Shabana Azmi, Makarand Deshpande",
*Maseeha*,Partho Ghosh,"Sunil Shetty, Namrata Shirodkar",Action
*Mere Yaar Ki Shaadi Hai*,Sanjay Gadhvi,"Uday Chopra, Bipasha Basu, Tulip Joshi, Jimmy Shergill",Romance
"*Mitr, My Friend*",Revathi,"Shobhana, Matt Phillips",Drama
*Mujhse Dosti Karoge!*,Kunal Kohli,"Hrithik Roshan, Rani Mukerji, Kareena Kapoor",Romance
*Mulaqaat*,,"Vinay Anand, Arun Bakshi, Rita Bhaduri, Milind Gunaji",
*Na Tum Jaano Na Hum*,Arjun Sablok,"Saif Ali Khan, Hrithik Roshan, Esha Deol",Romance
*Namaste: Say Hello to Love*,,,
*Nishad*,,,
*Om Jai Jagadish*,Anupam Kher,"Waheeda Rehman, Anil Kapoor, Fardeen Khan, Abhishek Bachchan, Mahima 
Chaudhry, Urmila Matondkar, Tara Sharma","Family, Drama"
*Pitaah*,,"Sanjay Dutt, Nandita Das, Jackie Shroff, Om Puri",
*Pratha*,,,
*Pyaar Diwana Hota Hai*,,"Govinda, Rani Mukerji",Romance
*Pyaar Ki Dhun*,,,
*Pyaasa*,,"Yukta Mookhey, Aftab Shivdasani","Action, Crime"
*Raaz*,,"Bipasha Basu, Dino Morea",Horror
*Rishtey*,,"Anil Kapoor, Karisma Kapoor, Shilpa Shetty",Drama
*Road*,,"Vivek Oberoi, Antara Mali, Manoj Bajpai",Thriller
*Saathiya*,Shaad Ali,"Vivek Oberoi, Rani Mukerji, Shah Rukh Khan, Tabu","Drama, Romance, Social"
*Shakti - The Power*,Boney Kapoor,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shahrukh Khan",Drama
*Shararat*,,"Abhishek Bachchan, Hrishita Bhatt","Comedy, Drama"
*Soch*,,"Sanjay Kapoor, Arbaaz Khan, Raveena Tandon",
*Sur: The Melody of Life*,Tanuja Chandra,"Lucky Ali, Gauri Karnik",Musical
*Swaraaj*,,,
*Tere Pyaar Ki Kasam*,Mahesh Manjrekar,"Sanjay Dutt, Sunil Shetty, Mahima Chaudhry, Hrishita Bhatt, Kabir Bedi, Om 
Puri",
"*Truth Yathharth, The*",,,
*Tum Jiyo Hazaron Saal*,Ramesh Puri,Pran,
*Tumko Na Bhool Paayenge*,,"Salman Khan, Dia Mirza, Sushmita Sen",Drama
*Tumse Achcha Kaun Hai*,,"Rati Agnihotri, Aarti Chabria, Ali Asghar",
*Vadh*,,"Nana Patekar, Anupama Verma, Puru Raajkumar, Nakul",
*Waah! Tera Kya Kehna*,,"Govinda, Raveena Tandon, Preeti Jhangiani",
*Yeh Dil Aashiqanaa*,Kuku Kohli,"Karan Nath, Jividha Sharma",
*Yeh Hai Jalwa*,David Dhawan,"Rishi Kapoor, Salman Khan, Amisha Patel, Rinke Khanna, Rati Agnihotri, Sanjay 
Dutt, Anupam Kher",Comedy
*Yeh Kaisi Mohabbat*,,,
*Yeh Kya Ho Raha Hai?*,Hansal Mehta,"Prashant Chianani, Aamir Ali, Vaibhav Jhalani, Yash Pandit, Payal Rohatgi","Comedy, Romance"
*Yeh Mohabbat Hai*,,"Rahul Bhatt, Johnny Lever",
*Zindagi Khoobsoorat Hai*,Manoj Punj,"Gurdas Maan, Tabu, Divya Dutta, Rajat Kapoor",
*Abhay*,Suresh Krishna,"Kamal Hassan, Manisha Koirala, Raveena Tandon",Thriller
*Aamdani Atthani Kharcha Rupaiyaa*,K. Raghavendra Rao,"Govinda, Juhi Chawla, Johnny Lever, Tabu, Isha Koppikar",Family Drama
*Aashiq*,Indra Kumar,"Bobby Deol, Karisma Kapoor",Action comedy
*Afsana Dilwalon Ka*,J. Om Prakash,"Rahul Roy, Ashish Kaul, Juni",Romance
*Ajnabee*,Abbas Mustan,"Bobby Deol, Akshay Kumar, Kareena Kapoor, Bipasha Basu","Thriller, Suspense, Crime"
*Aks*,Rakeysh Omprakash Mehra,"Amitabh Bachchan, Raveena Tandon, Manoj Bajpai, Nandita Das","Thriller, Horror"
*Albela*,Deepak Sareen,"Govinda, Aishwarya Rai, Namrata Shirodkar, Jackie Shroff",Romance
*Asoka*,Santosh Sivan,"Shahrukh Khan, Ajith, Kareena Kapoor",History
*Avgat*,Mohan Sharma,"Ajinkya Dev, Nethra Raghuraman, Sayaji Shinde, Rohini Hattangadi",Drama
*Ayurveda: Art of Being*,,,
*Bas Itna Sa Khwaab Hai*,Goldie Behl,"Abhishek Bachchan, Rani Mukerji, Sushmita Sen, Jackie Shroff","Drama, Romance, Social"
*Bengal Tiger*,,"Mithun Chakraborty, Shakti Kapoor",Action
*Bhago Boot*,,,
*Bhairav*,,Mithun Chakraborty,
*Bollywood Bound*,,,
*Bombay Eunuch*,,,
*Bombay Girls*,,,
*Censor*,,,
*Chandni Bar*,Madhur Bhandarkar,"Tabu, Atul Kulkarni",Drama
*Chhupa Rustam: A Musical Thriller*,Aziz Sejawal,"Sanjay Kapoor, Mamta Kulkarni, Manisha Koirala",Thriller
*Choo Lenge Akash*,Virendra Saini,"Puru Chibber, Pankaj Jha, Parikshat Sahni, Abhishek Sharma",Drama
*Chori Chori Chupke Chupke*,Abbas Mustan,"Salman Khan, Rani Mukerji, Preity Zinta","Drama, Romance"
*Daman: A Victim of Marital Violence*,Kalpana Lajmi,"Raveena Tandon, Raima Sen, Sanjay Suri, Sayaji Shinde",Drama
*Dattak*,Gul Bahar Singh,"Rajit Kapoor, Anjan Srivastav, A. K. Hangal, Kruttika Desai",
*Daughters of This Century*,,,
*Deewaanapan*,,"Arjun Rampal, Diya Mirza","Drama, Romance"
*Devi Durga Shakti*,,,
*Dil Chahta Hai*,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Dimple Kapadia, Sonali 
Kulkarni","Comedy, Romance, Drama"
*Dil Ne Phir Yaad Kiya*,,"Govinda, Tabu, Pooja Batra",Romance
*Divya Drishti*,,,
*Ehsaas: The Feeling*,,"Sunil Shetty, Neha",Drama
*Ek Rishtaa: The Bond of Love*,Suneel Darshan,"Amitabh Bachchan, Raakhee, Akshay Kumar, Karisma Kapoor, Juhi Chawla",Family drama
*Farz*,Raj Kanwar,"Sunny Deol, Preity Zinta","Action, Romance"
*Gadar: Ek Prem Katha*,Anil Sharma,"Sunny Deol, Amisha Patel, Amrish Puri","Drama, War"
*Grahan*,Shashilal K. Nair,"Jackie Shroff, Manisha Koirala, Anupama Verma",Romance
*Gumnam Qatil*,,,
*Guru Mahaaguru*,,,
*Hadh: Life on the Edge of Death*,,,
*Hello Girls*,,,
*Hum Deewane Pyar Ke*,,,
*Hum Ho Gaye Aapke*,,"Fardeen Khan, Reema Sen",Romance
*Husn Ke Lootere*,,,
*Indian*,N. Maharajan,"Sunny Deol, Shilpa Shetty, Malaika Arora Khan",Action
*Inteqam*,,,
*Ittefaq*,Sanjay Khanna,"Sunil Shetty, Pooja Batra","Action, Drama, Thriller"
*Jang Aur Aman*,,,
*Jeetenge Hum*,,,
*Jodi No.1*,,"Sanjay Dutt, Govinda, Twinkle Khanna, Monica Bedi",Comedy
*Kabhi Khushi Kabhie Gham*,Karan Johar,"Amitabh Bachchan, Jaya Bachchan, Shahrukh Khan, Kajol, Hrithik Roshan, Kareena 
Kapoor, Rani Mukerji",Family/Drama
*Kasam*,Shibu Mitra,"Sunny Deol, Neelam, Chunky Pandey",Action
*Kasoor*,Vikram Bhatt,"Lisa Ray, Aftab Shivdasani, Divya Dutta",Thriller
*Kuch Khatti Kuch Meethi*,Rahul Rawail,"Sunil Shetty, Kajol, Rishi Kapoor, Rati Agnihotri","Comedy, Drama"
*Kyo Kii Main Jhuth Nahin Bolta*,David Dhawan,"Govinda, Sushmita Sen","Comedy, Romance"
*Lagaan: Once Upon a Time in India*,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Toby Stephens","Drama, Musical"
*Lagi Shaarth*,,,
*Lajja*,Rajkumar Santoshi,"Manisha Koirala, Rekha, Madhuri Dixit, Jackie Shroff, Anil Kapoor, Mahima 
Chaudhry, Ajay Devgan","Drama, Romance, Musical, Crime"
*Love Ke Liye Kuchh Bhi Karega*,E. Niwas,"Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Twinkle Khanna, Sonali Bendre",Comedy
*Master*,,,
*Maya*,,,
*Mitti*,,,
*Moksha: Salvation*,,"Manisha Koirala, Arjun Rampal",Drama
*Mujhe Kucch Kehna Hai*,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Rinke Khanna",Comedy
*Mujhe Meri Biwi Se Bachaao*,Harry Baweja,"Naseeruddin Shah, Rekha, Arshad Warsi, Suman Ranganathan","Comedy, Family"
*Nayak: The Real Hero*,S. Shankar,"Anil Kapoor, Rani Mukerji, Paresh Rawal, Amrish Puri, Johny Lever",Drama
*Officer*,Naeem Sha,"Sunil Shetty, Raveena Tandon",Action
*One 2 Ka 4*,Shashilal K. Nair,"Shahrukh Khan, Juhi Chawla, Jackie Shroff","Action, Romance"
*Paagalpan*,Aruna Irani,"Karan Nath, Aarti Agarwal",Romance
*Pyaar Ishq Aur Mohabbat*,,"Sunil Shetty, Arjun Rampal, Aftab Shivdasani, Isha Koppikar, Kirti Reddy",Romance
*Pyaar Tune Kya Kiya*,Rajat Mukherjee,"Urmila Matondkar, Fardeen Khan, Sonali Kulkarni","Drama, Romance, Thriller"
*Pyaar Zindagi Hai*,,,
*Rahul*,,"Neha, Jatin Grewal, Rajeshwari Sachdev",Drama
*Rehnaa HaiTerre Dil Mein*,Gautham Menon,"Saif Ali Khan, Dia Mirza, R. Madhavan",Romance
*Shaadicom*,,,
*Shere Punjab*,Sunny Deol,Mallika Sherawat,
*Shirdi Sai Baba*,,,
*Style*,,"Sahil Khan, Sharman Joshi, Riya Sen",Romance
*Tamboo Mein Bamoo*,,,
*Tera Mera Saath Rahen*,,"Ajay Devgan, Sonali Bendre, Namrata Shirodkar",Drama
*Tum Bin - Love Will Find a Way*,Anubhav Sinha,"Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha",Romance
*Uljhan*,Rajan Johri,"Puru Raajkumar, Dipti Bhatnagar, Kanchan",
*Valon Ja Varjon Huoneet*,,,
*Veer Savarkar*,,,
*The Warrior*,,Irrfan Khan,
*Yaadein*,Subhash Ghai,"Hrithik Roshan, Kareena Kapoor, Jackie Shroff, Amrish Puri","Romance, Drama"
*Yeh Raaste Hain Pyaar Ke*,Deepak S. Shivdasani,"Ajay Devgan, Madhuri Dixit, Preity Zinta, Sunny Deol",Drama
*Yeh Teraa Ghar Yeh Meraa Ghar*,Priyadarshan,"Sunil Shetty, Mahima Chaudhry",Drama
*Yeh Zindagi Ka Safar*,,"Amisha Patel, Jimmy Shergill",
*Zubeidaa*,Shyam Benegal,"Karisma Kapoor, Rekha, Manoj Bajpai, Amrish Puri, Lilette Dubey",Drama
*Aaghaaz*,Yogesh Ishwar,"Suniel Shetty, Sushmita Sen, Namrata Shirodkar",Thriller
*Aaj Ka Ravan*,Imran Khalid,"Kasam Ali, Mithun Chakraborty",Drama
*Anjaane*,Ravi Rai,Raveena Tandon,
*Anokha Moti*,Anshul Singla,"Sanjay Sharma, Arjun Chakraborty, Nayab Aftab",Family
*Apradhi Kaun*,Mohan Bhakri,"Ishrat Ali, Shagufta Ali",Thriller
*Astitva*,Mahesh Manjrekar,"Tabu, Sachin Khedekar, Smita Jaykar, Mohnish Bahl","Drama, Social"
*Baaghi*,Rajesh Kumar Singh,"Sanjay Dutt, Manisha Koirala",Action
*Badal*,Raj Kanwar,"Bobby Deol, Rani Mukerji","Action, Drama"
*Bas Yaari Rakho*,Gopi Desai,"Pooja Batra, Seema Biswas",Comedy/Drama
*Bawandar*,Jag Mundhra,"Nandita Das, Rahul Khanna",Drama
*Beti No.1*,Rama Rao Tatineni,"Govinda, Rambha",Comedy
*Bhai Thakur*,,Dharmendra,Action
*Bichhoo*,Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Malaika Arora",Action
*Billa No. 786*,Imran Khalid,Mithun Chakraborty,Action
*Bulandi*,Rama Rao Tatineni,"Rajinikanth, Rekha, Anil Kapoor, Raveena Tandon",Drama
*Chal Mere Bhai*,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Twinkle Khanna, Sonali Bendre, Shakti 
Kapoor, Dalip Tahil",Comedy
*Champion*,Padam Kumar,"Sunny Deol, Manisha Koirala","Action, Drama"
*Cover Story*,G.S. Vijayan,"Tabu, Suresh Gopi","Action, Drama"
*Dahshat*,Tulsi Ramsay,"Sarika, Navin Nischol",Horror
*Deewane*,Harry Baweja,"Ajay Devgan, Urmila Matondkar, Mahima Chaudhry",Action/Romance
*Dhaai Akshar Prem Ke*,Raj Kanwar,"Abhishek Bachchan, Aishwarya Rai","Romance, Drama"
*Dhadkan*,Dharmesh Darshan,"Akshay Kumar, Suniel Shetty, Shilpa Shetty","Romance, Drama"
*Dil Hi Dil Mein*,Kathir,"Sonali Bendre, Kunal",Romance
*Dil Ki Dhadkan*,,Rambha,
*Dil Pe Mat Le Yaar*,Hansal Mehta,"Manoj Bajpai, Tabu",Drama
*Dr. Babasaheb Ambedkar*,Jabbar Patel,"Mammootty, Sonali Kulkarni",
*Dr Mukta*,,,
*Dulhan Hum Le Jayenge*,David Dhawan,"Salman Khan, Karisma Kapoor","Comedy, Romance"
*Fiza*,Khalid Mohammed,"Jaya Bachchan, Karisma Kapoor, Hrithik Roshan",Drama
*Gaja Gamini*,M.F. Hussain,"Madhuri Dixit, Shabana Azmi, Shilpa Shirodkar, Naseeruddin Shah, Shah Rukh 
Khan",Drama
*Gang*,Mazhar Khan,"Juhi Chawla, Nana Patekar, Jackie Shroff",Crime
*Ghaath*,Akashdeep,"Raveena Tandon, Tabu, Manoj Bajpai",Drama
*Hadh Kar Di Aapne*,Manoj Agrawal,"Govinda, Rani Mukerji","Comedy, Romance"
*Hamara Dil Aapke Paas Hai*,Satish Kaushik,"Anil Kapoor, Aishwarya Rai, Sonali Bendre",Drama
*Har Dil Jo Pyar Karega*,Raj Kanwar,"Salman Khan, Preity Zinta, Rani Mukerji, Shahrukh Khan","Comedy, Drama, Romance"
*Hari-Bhari*,*Shyam Benegal*,"Shabana Azmi, Rajit Kapur, Rajeshwari Sachdev, Surekha Sikri, Nandita Das",
*Hera Pheri*,Priyadarshan,"Akshay Kumar, Suniel Shetty, Tabu, Paresh Rawal",Comedy
*Hey Ram*,Kamal Hassan,"Kamal Hassan, Shah Rukh Khan, Rani Mukerji, Vasundhara Das, Hema Malini, Girish 
Karnad, Om Puri",Drama
*Hum To Mohabbat Karega*,Kundan Shah,"Bobby Deol, Karisma Kapoor",Action/Romance
*Jallad No 1*,Kanti Shah,Dharmendra,Drama
*Jis Desh Mein Ganga Rehta Hain*,Mahesh Manjrekar,"Govinda, Sonali Bendre, Rinke Khanna",Drama
*Joru Ka Ghulam*,Shakeel Noorani,"Govinda, Twinkle Khanna",Drama
*Josh*,Mansoor Khan,"Shahrukh Khan, Chandrachur Singh, Aishwarya Rai, Priya Gill, Sharad Kapoor",Action/Romance
*Jung*,Sanjay Gupta,"Sanjay Dutt, Shilpa Shetty, Raveena Tandon, Jackie Shroff",Drama
*Jungle*,Ram Gopal Verma,"Urmila Matondkar, Fardeen Khan, Sunil Shetty",Romance
*Kabrastan*,Ramesh U. Lakhiani,,Horror
*Kahin Pyaar Na Ho Jaaye*,K. Muralimohana Rao,"Salman Khan, Rani Mukerji, Jackie Shroff, Raveena Tandon, Pooja Batra","Comedy, Romance"
*Kaho Naa... Pyaar Hai*,Rakesh Roshan,"Hrithik Roshan, Amisha Patel, Anupam Kher",Romance
*Kairee*,Amol Palekar,"Atul Kulkarni, Yogita Deshmukh, Shilpa Navalkar",Drama
*Karobaar: The Business of Love*,Rakesh Roshan,"Rishi Kapoor, Anil Kapoor, Juhi Chawla",Drama
*Kharidaar*,Papu Bahruz,"Kishore Anand Bhanushali, Mushtaq Khan, Anil Nagrath, Amit Pachori",
*Khauff*,Sanjay Gupta,"Sanjay Dutt, Manisha Koirala, Simran",Drama
*Khiladi 420*,Neeraj Vora,"Akshay Kumar, Mahima Chaudhry, Antara Mali","Action, Romance"
*Krodh*,Ashok Honda,"Suniel Shetty, Rambha",Action
*Kunwara*,David Dhawan,"Govinda, Urmila Matondkar",Comedy
*Kurukshetra*,Mahesh Manjrekar,"Sanjay Dutt, Mahima Chaudhry","Action, Romance"
*Kya Kehna*,Kundan Shah,"Saif Ali Khan, Preity Zinta, Chandrachur Singh, Farida Jalal, Anupam Kher","Romance, Drama"
*Le Chal Apne Sang*,Vijay Kondke,"Nishanth, Alok Nath, Beena Banerjee",Romance
*Lekroo*,Shrabani Deodhar,"Sania Jhankar, Nimish Kathale, Sachin Khedekar, Mrinal Kulkarni",
*Mela*,Dharmesh Darshan,"Aamir Khan, Twinkle Khanna, Faisal Khan, Aishwarya Rai, Johny Lever",Drama
*Meri Jung Ka Elaan*,Kanti Shah,Dharmendra,Drama
*Mission Kashmir*,Vidhu Vinod Chopra,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni","Drama, War"
*Mohabbatein*,Aditya Chopra,"Amitabh Bachchan, Prince Mubashar, Aishwarya Rai, Uday Chopra, Shamita 
Shetty, Kim Sharma, Jimmy Shergill, Preeti Jhangiani, Jugal Hansraj","Drama, Musical, Romance"
*Nidaan*,Mahesh Manjrekar,"Shivaji Satam, Reema Lagoo, Nisha Bains, Sunil Barve",Drama
*Officer*,,"Sunil Shetty, Raveena Tandon",
*Papa the Great*,K. Bhagyaraj,"Krishna Kumar, Nagma",Family
*Phir Bhi Dil Hai Hindustani*,Aziz Mirza,"Shahrukh Khan, Juhi Chawla, Paresh Rawal, Johny Lever, Dalip Tahil, Satish 
Shah, Sharat Saxena","Comedy, Drama, Romance, War"
*The Prince of Light*,Yugo Sako,"Bryan Cranston, Edie Mirman, Tom Wyner, Richard Cansino",
*Pukar*,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar",Drama
*Raja Ko Rani Se Pyar Ho Gaya*,T.K. Rajeev Kumar,"Manisha Koirala, Arvind Swamy","Comedy, Musical"
*Raju Chacha*,Anil Devgan,"Ajay Devgan, Kajol, Rishi Kapoor, Sanjay Dutt",Comedy
*Refugee*,J. P. Dutta,"Abhishek Bachchan, Kareena Kapoor, Sunil Shetty, Jackie Shroff, Anupam Kher","Drama, Romance"
*The Revenge: Geeta Mera Naam*,Dilip Gulati,"Birbal, Dharmendra, Jack Gaud, Ali Khan",
*Saanjh*,Sabrina Dhawan,"Nandita Das, Sharda Desoares, Arjun Raina, Rahul Vohra",
*Sanam Tere Hain Hum*,Jayanth C. Paranji,"Nagarjuna Akkineni, Kirti Reddy, Aishwarya Rai, Anjala Zaveri",Romance
*Second Generation*,,,
*Shaheed Udham Singh*,Chitraarth,"Gurdas Maan, Raj Babbar",Drama
*Shikaar*,Bobby Raj,"Abhishek Kapoor, Vikas Bhalla, Ayesha Jhulka, Anupam Kher",
*Shikari*,N. Chandra,"Govinda, Karishma Kapoor, Tabu","Thriller, Action, Romance"
*Snip!*,Sunil Sippy,"Sohrab Ardeshir, Nikhil Chinappa, Makrand Deshpande, Vekeana Dhillon",
*Split Wide Open*,Dev Benegal,"Rahul Bose, Laila Rouass, Shivaji Satam, Ayesha Dharker",
*Sultaan*,,Vikas Anand,
*Tapish*,Jay Prakash,"Tara Deshpande, Ellora Patnaik, Parvin Dabas, Gajendra Chouhan",
*Tarkieb*,Esmayeel Shroff,"Milind Soman, Nana Patekar, Tabu, Shilpa Shetty","Suspense, Thriller"
*Tera Jadoo Chal Gayaa*,A. Muthu,"Abhishek, Kirti Reddy, Sanjay Suri",Romance
*Tere Liye*,Sanjay Gadhvi,"Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal",
*Tune Mera Dil Le Liyaa*,B.B. Bhalla,"Raveena Tandon, Naseeruddin Shah, Rahul Roy, Shakti Kapoor",
*Zindagi Zindabad*,"Sumitra Bhave, Sunil Sukthankar","Mita Vasisht, Milind Gunaji, Uttara Baokar, Abhiram Bhadkamkar",
