Opening,Title,Genre,Director,Cast,Source
*SEPTEMBER*,*Raaz 3*,Adult/Suspense/Thriller,Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[61]",
,*Chal Pichchur Banate Hain*,Comedy,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[62]",
,*Barfi!*,Romance/Comedy,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz[63]",
,*Jeena Hai Toh Thok Daal*,Drama,Manish Vatsalya,"Ravi Kissen, Yashpal Sharma, Govind Namdev, Hazel, Sharat Saxena[64]",
,*Heroine*,Adult/Drama,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Rakesh Bapat, Divya 
Dutta[65]",
,*Kamaal Dhamaal Malamaal*,Comedy,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, 
Madhurima[66]",
,*Oh My God*,Comedy,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Lubna Salim [67]",
*OCTOBER*,*English Vinglish*,Drama,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[68]",
,*Kismet Love Paisa Dilli*,Comedy,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[69]",
,*Aiyyaa*,Rom-Com,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[70]",
,*Makkhi*,Action/Fantasy,S S Rajamouli,"Sudeep, Nani, Samantha[71]",
,Login,Drama/Thriller,Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai,[72]",
,*Chittagong (film)*,Drama,Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[73]",
,*Bhoot Returns*,Horror,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[74]",
,*Student Of The Year*,Romance/Comedy,Karan Johar,"Siddharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[75]",
,*Delhi Safari*,Computer Animated,Nikhil Advani,"Voice-Over By Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, 
Govinda, Swini Khara[76]",
,*Chakravyuh*,Political Thriller,Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[77]",
,*Ajab Gazabb Love*,Comedy,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher
[78]",
,*Rush*,Thriller/Crime,"Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[79]",
*NOVEMBER*,*Luv Shuv Tey Chicken Khurana*,Comedy,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[80]",
,*1920 - Evil Returns*,Horror,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[81]",
,*Ata Pata Laapata*,Musical Comedy,Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[82]",
,*Sons Of Ram*,Animation/Drama/Children,Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi 
Ghosh[83]",
,*Future To Bright Hai Ji*,Drama,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[84]",
,*Jab Tak Hai Jaan*,"Romance, Drama",Yash Chopra,"Shahrukh Khan, Katrina Kaif, Anushka Sharma[85]",
,*Son Of Sardaar*,Comedy,Ashwni Dhir,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt, Juhi Chawla[86]",
,*Talaash*,Drama/Suspense,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui[87]",
*DECEMBER*,*Khiladi 786*,Action/Comedy,Ashish R Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Himesh 
Reshammiya, Paresh Rawal[88]",
,*Cigarette Ki Tarah*,Drama/Thriller,Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry,[89]",
,*Dabangg 2*,Action/Comedy,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[90]",
*APRIL*,*Chashme Baddoor*,Comedy,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[35]",
,*Nautanki Saala*,Comedy/Romance,Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[36]",
,*Commando-A One Man Army*,Action/Romance,Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[37]",
,*Ek Thi Daayan*,Horror,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[38]",
,*Aashiqui 2*,Musical romance,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[39]",
,*Shree*,Thriller,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[40]",
*MAY*,*Shootout at Wadala*,Crime/Thriller,Sanjay Gupta,"John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut, Sonu 
Sood, Tushar Kapoor, Mahesh Manjrekar, Priyanka Chopra, Sunny Leone, Jackie 
Shroff, Raju Kher[41]",
,*Bombay Talkies*,Anthology,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","tanmay pant, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, 
Sadashiv Amrapurkar, Katrina Kaif[42]",
,*Chhota Bheem And The Throne of Bali*,Children/Animation,Rajiv Chilaka,"Chhota Bheem, Raju, Chutki, arjun[43]",
,*Go Goa Gone*,Zombie comedy,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[44]",
,*Gippi*,Coming of age,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[45]",
,*Aurangzeb*,Drama/Action,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[
46]",
,*I Don't Luv U*,Romantic drama,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[47]",
,*Beehad - The Ravines*,Drama,Krishna Mishra,"Maan Singh Deep, Mangal Singh, Sunil Sawara[48]",
,*Ishkq in Paris*,Romance,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[49]",
,*Hum Hai Raahi CAR Ke*,Romantic comedy,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[50]",
,*Zindagi 50-50*,Social,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal 
Yadav[51]",
,*Yeh Jawaani Hai Deewani*,Romantic comedy,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn 
Sharma, Kunal Roy Kapoor[52]",
*JUNE*,*Yamla Pagla Deewana 2*,Comedy/Action,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[53]",
,*Fukrey*,Comedy,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya 
Anand, Pankaj Tripathi[54]",
,*Ankur Arora Murder Case*,Thriller,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[55]",
,*Raanjhanaa*,Romance,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub[56]",
,*Enemmy*,Action,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny 
Lever, Mahesh Manjrekar, Yuvika Chaudhary[57]",
,*Shortcut Romeo*,Romantic thriller,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[58]",
,*Ghanchakkar*,Comedy/Thriller,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan[59]",
*JANUARY*,*Table No. 21*,Thriller/Drama,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tena Desae",[4]
,*Dehraadun Diary*,Thriller,Milind Ukey,"Adhyayan Suman, Rohit Bakshi (actor), Ragini Nandwani, Ashwini Kalsekar, Rati 
Agnihotri",[5]
,*Meri Shadi Karao*,Comedy,Syed Noor,Gurdeep Singh Mehndi,[6]
,*Matru Ki Bijlee Ka Mandola*,Comedy,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",[7]
,*Pyaar Mein Aisa Hota Hai*,Thriller,Rajeesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",[8]
,*Gangoobai*,Drama,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",[9]
,*Inkaar*,Romance/Crime,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Gaurav Dwivedi",[10]
,*Mumbai Mirror*,Action,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",[11]
,*Bandook*,Crime,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",[12]
,*Race 2*,Action/Thriller,Abbas-Mustan,"Saif Ali Khan, Deepika Padukone, John Abraham, Jacqueline Fernandez, Anil 
Kapoor, Ameesha Patel",[13]
,*Akaash Vani*,Romance,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",[14]
,*Main Krishna Hoon*,Animation/Musical,Rajiv S. Ruia,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",[15]
*FEBRUARY*,*David*,Crime,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",[16]
,*Vishwaroop*,Action,Kamal Hassan,"Kamal Hassan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose",[17]
,*Mai...*,Drama/Family,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",[18]
,*Listen... Amaya*,Drama,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",[19]
,*Special 26*,Drama/Comedy,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Shergill[20
]",
,*The Unsound*,Thriller,Alok Shrivastava,"Shadaab Khan, Anurita Jha[21]",
,*Jayantabhai Ki Luv Story*,Comedy/Romance,Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",
,*Murder 3*,Thriller,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza",[23]
,*Kai Po Che!*,Drama,Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri",[24]
,*Zilla Ghaziabad*,Action,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Harsh Raj Gond, Sanjay Dutt, Minissha Lamba, Ravi 
Kishan, Paresh Rawal",[25]
*MARCH*,"*I, Me, aur Main*",Romantic comedy,Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",[26]
,*Bloody Isshq*,Romance/Thriller,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",[27]
,"*Saheb, Biwi Aur Gangster Returns*",Drama/Thriller,Tigmanshu Dhulia,"Jimmy Shergill, Mahie Gill, Irrfan Khan, Soha Ali Khan",[28]
,*Saare Jahaan Se Mehnga*,Satire/Comedy,Anshul Sharma,"Sanjai Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod 
Pathak, Zakir Hussain",[29]
,*3G*,Thriller,Shantanu & Sheershak,"Neil Nitin Mukesh, Sonal Chauhan",[30]
,*Mere Dad Ki Maruti*,Comedy,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",[31]
,*Jolly LLB*,Comedy/Satire,Subash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla",[32]
,*Rangrezz*,Action,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",[33]
,*Himmatwala*,Action/Comedy,Sajid Khan,"Ajay Devgan, Tamannaah, Mahesh Manjrekar, Riteish Deshmukh",[34]
*APRIL*,*Chashme Baddoor*,Comedy,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[35]",
,*Nautanki Saala*,Comedy/Romance,Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[36]",
,*Commando-A One Man Army*,Action/Romance,Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[37]",
,*Ek Thi Daayan*,Horror,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[38]",
,*Aashiqui 2*,Musical romance,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[39]",
,*Shree*,Thriller,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[40]",
*MAY*,*Shootout at Wadala*,Crime/Thriller,Sanjay Gupta,"John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut, Sonu 
Sood, Tushar Kapoor, Mahesh Manjrekar, Priyanka Chopra, Sunny Leone, Jackie 
Shroff, Raju Kher[41]",
,*Bombay Talkies*,Anthology,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","tanmay pant, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, 
Sadashiv Amrapurkar, Katrina Kaif[42]",
,*Chhota Bheem And The Throne of Bali*,Children/Animation,Rajiv Chilaka,"Chhota Bheem, Raju, Chutki, arjun[43]",
,*Go Goa Gone*,Zombie comedy,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[44]",
,*Gippi*,Coming of age,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[45]",
,*Aurangzeb*,Drama/Action,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[
46]",
,*I Don't Luv U*,Romantic drama,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[47]",
,*Beehad - The Ravines*,Drama,Krishna Mishra,"Maan Singh Deep, Mangal Singh, Sunil Sawara[48]",
,*Ishkq in Paris*,Romance,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[49]",
,*Hum Hai Raahi CAR Ke*,Romantic comedy,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[50]",
,*Zindagi 50-50*,Social,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal 
Yadav[51]",
,*Yeh Jawaani Hai Deewani*,Romantic comedy,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn 
Sharma, Kunal Roy Kapoor[52]",
*JUNE*,*Yamla Pagla Deewana 2*,Comedy/Action,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[53]",
,*Fukrey*,Comedy,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya 
Anand, Pankaj Tripathi[54]",
,*Ankur Arora Murder Case*,Thriller,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[55]",
,*Raanjhanaa*,Romance,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub[56]",
,*Enemmy*,Action,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon, Johnny 
Lever, Mahesh Manjrekar, Yuvika Chaudhary[57]",
,*Shortcut Romeo*,Romantic thriller,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[58]",
,*Ghanchakkar*,Comedy/Thriller,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan[59]",
*JULY*,*Lootera*,Romance/Thriller,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[60]",
,*Policegiri*,Action,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[61]",
,*Bhaag Milkha Bhaag*,Biopic,Aakash Bhimani,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[62]",
,*Sixteen*,Drama,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan 
Mehra[63]",
,*B.A. Pass*,Drama,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[64]",
,*Boyss Toh Boyss Hain*,Comedy,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, 
Aarya Kumar[65]",
,*Ramaiya Vastavaiya*,Rom-com,Prabhudeva,"Girish Kumar, Shruti Haasan[66]",
,*D Day*,Action/Drama,Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[67]",
,*Ship of Theseus*,Avant-garde,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[68]",
,*Issaq*,Romance/Drama,Manish Tiwary,"Prateik Babbar, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand 
Deshpande[69]",
,*Bajatey Raho*,Comedy,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[70]",
,*Luv U Soniyo*,Romance,Joe Rajan,"Tanuj Virwani, Neha Hinge[71]",
,*Nasha*,Erotic/Thriller,Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[72]",
*AUGUST*,*Rabba Main Kya Karoon*,Comedy,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Tahira Kochchar, Paresh Rawal[73]",
,*Chor Chor Super Chor*,Comedy,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[74]",
,*Calapor*,Thriller/Drama,Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[75]",
,*Love in Bombay*,Romance,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Rehman, Ashok Kumar[76]",
,*Chennai Express*,Comedy/Action,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[77]",
,*Once Upon Ay Time In Mumbai Dobaara!*,Crime/Romance,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Mahesh Manjrekar[78
]",
,*Madras Cafe*,Drama/Espionage thriller,Shoojit Sircar,"John Abraham, Nargis Fakhri",
,*Satyagraha*,Political thriller,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao, Manoj 
Bajpai[79]",
*SEPTEMBER*,*Zanjeer*,Action/Thriller,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul 
Kulkarni[80]",
,*Shuddh Desi Romance*,Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[81]",
,*Siddharth*,Drama,Richie Mehta,Rajesh Tailang,
,*Grand Masti*,Adult comedy,Indra Kumar,"Ritesh Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna, Manjari 
Phadnis, Bruna Abdullah, Kainaat Arora[82]",
,*John Day*,Thriller,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[83]",
,*Horror Story*,Horror,Ayush Raina,"Karan Kundra, Nishant Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh, Aparna 
Bajpai, Radhika Menon, Nandini Vaid[84]",
,*Phata Poster Nikla Hero*,Rom com/Action,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan 
Jariwala[85]",
,*The Lunchbox*,Drama,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[86]",
,*Warning*,Thriller,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin 
Gulati, Sumit Suri, Madhurima Tuli[87]",
,*Maazii*,Suspense thriller,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish 
Chaudhary[88]",
,*Prague*,Psychological thriller/Romance,Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[89]",
,*Super Model*,Drama,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[90]",
*OCTOBER*,*War Chhod Na Yaar*,War comedy,Faraz Haider,"Sharman Joshi, Javed Jaffrey, Soha Ali Khan, Sanjai Mishra[91]",
,*Baat Ban Gayi*,Comedy,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[92]",
,*Pazhassi Raja*,Historical fiction,Hariharan,"Mammootty, Manoj K. Jayan, Sarathkumar, Suresh Krishna, Padmapriya 
Janakiraman, Kanika Subramaniam[93]",
,*Ek Thee Sanam*,Drama,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[94]",
,*Paapi - Ek Satya Katha*,Crime,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh 
Sharma, Harish Patel[95]",
,*Boss*,Masala,Anthony D'Souza,"Akshay Kumar, Mithun Chakraborty, Danny Denzongpa, Ronit Roy, Sonakshi Sinha, 
Aditi Rao Hydari, Shiv Pandit, Johny Lever[96]",
,*Shahid*,Drama/Biography,Hansal Mehta,"Rajkummar Rao, Tigmanshu Dhulia, Kay Kay Menon, Prabal Panjabi[97]",
,*Wake Up India*,Political/Drama,Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Manoj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan 
Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, 
Asrani, Anjula Singh Mahor[98]",
,*Amdavad Junction*,Crime/Drama,Apurv Bajpai,"Rohan Jardosh, Saurabh Singh, Gunjan Vyas, Touqeer Khan, Ishita Salot, 
Devendra Trivedi, Hitesh Patel, Swapna Nair[99]",
,*Dilli Gang*,Crime,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Amir Dalvi, Asif Basra, Asif 
Ali[100]",
,*Mickey Virus*,Comedy/Thriller,Saurabh Varma,"Manish Paul, Elli Avram, Varun Badola, Manish Chaudhary, Puja Gupta[101]",
,*Ishk Actually*,Romance,Anish Khanna,"Rajeev Khandelwal, Rayo Bakhirta, Neha Ahuja, Ann Mitchai, Neha Ghelot, 
Siddharth Van Shipley[102]",
,*Sooper Se Ooper*,Comedy,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma[103]",
*NOVEMBER*,*Krrish 3*,Superhero,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[104]",
,*Satya 2*,Crime,Ram Gopal Varma,"Puneet Singh Ratn, Anaika Soti,[105] Mahesh Thakur, Aradhna Gupta,[106][107] Raj 
Premi, Vikram Singh[108]",
,*Rajjo*,Romance,Vishwas Patil,"Kangana Ranaut, Paras Arora, Mahesh Manjrekar, Prakash Raj, Jaya Prada",
,*Goliyon Ki Rasleela Ram-Leela*,Romance/Drama,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Richa Chadda, Supriya Pathak[109]",
,*Gori Tere Pyaar Mein*,Romance/Comedy,Punit Malhotra,"Imran Khan, Kareena Kapoor, Shraddha Kapoor, Anupam Kher[110]",
,*Singh Saab The Great*,Action,Anil Sharma,"Sunny Deol, Amrita Rao, Johny Lever, Urvashi Rautela[111]",
,*Bullett Raja*,Comedy/Crime/Romance,Tigmanshu Dhulia,"Saif Ali Khan, Sonakshi Sinha, Jimmy Shergill, Vidyut Jamwal, Chunky Pandey, 
Sunny Leone[112]",
*DECEMBER*,*R... Rajkumar*,Action/Romance,Prabhudeva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Asrani, Ashish Vidyarthi[113]",
,*Jackpot*,Thriller/Comedy,Kaizad Gustad,"Sachiin J Joshi, Naseeruddin Shah, Sunny Leone[114]",
,*What the Fish*,Drama,Gurmmet Singh,"Dimple Kapadia, Manu Rishi, Manjot Singh, Anand Tiwari[115]",
,*Dhoom 3*,Action,Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra",
